"mandmin_convict","years_served","years_remaining","offense","years_expected"
"1",5.73882532,5.418316,"total",11.15714132
"0",3.00569908,2.53586305,"total",5.54156213
"1",5.700051,4.493669,"drug",10.19372
"0",3.223749,2.47253338,"drug",5.69628238
"1",6.269915,6.954322,"weapon",13.224237
"0",3.09516521,2.45894071,"weapon",5.55410592
"1",4.087201,8.149279,"sex",12.23648
"0",3.805198,3.56913351,"sex",7.37433151
