"year","pop_baseline","pop_jointimpact"
2014,214149,214149
2015,205723,205723
2016,192847,192847
2017,193919,181632
2018,197316,175734
2019,200073,162494
2020,201959,153056
2021,203499,144013
2022,204787,143545
2023,206060,143111
2024,206871,142909
