"districtcode","zip","sentences","zip_lat","zip_long","centroid_lat","centroid_long"
"AK","90731",16,33.728544,-118.26816,64.46242126,-152.803166
"AK","92394",30,34.570578,-117.361306,64.46242126,-152.803166
"AK","93436",35,34.6768455,-120.5017175,64.46242126,-152.803166
"AK","94568",19,37.717998,-121.894811,64.46242126,-152.803166
"AK","96113",28,40.152434,-120.154681,64.46242126,-152.803166
"AK","97378",84,45.085281,-123.382494,64.46242126,-152.803166
"ALM","27509",15,36.141739,-78.804965,32.10971976,-85.9443174
"ALM","30315",43,33.71254,-84.368065,32.10971976,-85.9443174
"ALM","31599",18,31.563664,-81.902234,32.10971976,-85.9443174
"ALM","32446",31,30.813955,-85.188838,32.10971976,-85.9443174
"ALM","33521",32,28.760196,-82.01244,32.10971976,-85.9443174
"ALM","35160",53,33.422432,-86.140392,32.10971976,-85.9443174
"ALM","35442",24,33.176326,-88.192975,32.10971976,-85.9443174
"ALM","36112",33,32.395436,-86.359888,32.10971976,-85.9443174
"ALM","39194",76,32.886693,-90.432438,32.10971976,-85.9443174
"ALM","71463",21,30.8321375,-92.6370675,32.10971976,-85.9443174
"ALM","72335",25,34.979818,-90.803971,32.10971976,-85.9443174
"ALM","77705",18,29.964871,-94.07919,32.10971976,-85.9443174
"ALN","24277",15,36.702825,-83.002041,33.90632763,-86.9572268
"ALN","27509",24,36.141739,-78.804965,33.90632763,-86.9572268
"ALN","29824",23,33.758669,-81.916903,33.90632763,-86.9572268
"ALN","30315",81,33.71254,-84.368065,33.90632763,-86.9572268
"ALN","31055",18,32.054394,-82.877434,33.90632763,-86.9572268
"ALN","31599",21,31.563664,-81.902234,33.90632763,-86.9572268
"ALN","32446",46,30.813955,-85.188838,33.90632763,-86.9572268
"ALN","33521",46,28.760196,-82.01244,33.90632763,-86.9572268
"ALN","35160",161,33.422432,-86.140392,33.90632763,-86.9572268
"ALN","35442",29,33.176326,-88.192975,33.90632763,-86.9572268
"ALN","36112",71,32.395436,-86.359888,33.90632763,-86.9572268
"ALN","38134",33,35.155787,-89.866126,33.90632763,-86.9572268
"ALN","39120",20,31.559019,-91.220072,33.90632763,-86.9572268
"ALN","39194",150,32.886693,-90.432438,33.90632763,-86.9572268
"ALN","40511",32,38.104643,-84.560369,33.90632763,-86.9572268
"ALN","40962",16,37.180037,-83.789133,33.90632763,-86.9572268
"ALN","41105",18,38.435816,-82.704896,33.90632763,-86.9572268
"ALN","41224",18,37.773826,-82.647241,33.90632763,-86.9572268
"ALN","42635",34,36.687942,-84.389351,33.90632763,-86.9572268
"ALN","71463",69,30.8321375,-92.6370675,33.90632763,-86.9572268
"ALN","71467",23,31.463861,-92.439884,33.90632763,-86.9572268
"ALN","72335",84,34.979818,-90.803971,33.90632763,-86.9572268
"ALN","73169",16,35.390753,-97.616397,33.90632763,-86.9572268
"ALN","75159",16,32.659571,-96.569396,33.90632763,-86.9572268
"ALN","77705",27,29.964871,-94.07919,33.90632763,-86.9572268
"ALN","85756",19,32.088098,-110.861148,33.90632763,-86.9572268
"ALS","27509",26,36.141739,-78.804965,31.63604296,-87.6434802
"ALS","30315",59,33.71254,-84.368065,31.63604296,-87.6434802
"ALS","31599",20,31.563664,-81.902234,31.63604296,-87.6434802
"ALS","32301",18,30.443172,-84.224369,31.63604296,-87.6434802
"ALS","32446",52,30.813955,-85.188838,31.63604296,-87.6434802
"ALS","32509",31,30.46364,-87.343146,31.63604296,-87.6434802
"ALS","33521",68,28.760196,-82.01244,31.63604296,-87.6434802
"ALS","35160",69,33.422432,-86.140392,31.63604296,-87.6434802
"ALS","35442",15,33.176326,-88.192975,31.63604296,-87.6434802
"ALS","36112",45,32.395436,-86.359888,31.63604296,-87.6434802
"ALS","38134",22,35.155787,-89.866126,31.63604296,-87.6434802
"ALS","39194",180,32.886693,-90.432438,31.63604296,-87.6434802
"ALS","71463",61,30.8321375,-92.6370675,31.63604296,-87.6434802
"ALS","71467",36,31.463861,-92.439884,31.63604296,-87.6434802
"ALS","72335",58,34.979818,-90.803971,31.63604296,-87.6434802
"ALS","76119",15,32.679596,-97.287277,31.63604296,-87.6434802
"ALS","77705",48,29.964871,-94.07919,31.63604296,-87.6434802
"ARE","27509",15,36.141739,-78.804965,35.07092531,-91.6258264
"ARE","33521",17,28.760196,-82.01244,35.07092531,-91.6258264
"ARE","35442",18,33.176326,-88.192975,35.07092531,-91.6258264
"ARE","38134",52,35.155787,-89.866126,35.07092531,-91.6258264
"ARE","39120",30,31.559019,-91.220072,35.07092531,-91.6258264
"ARE","39194",42,32.886693,-90.432438,35.07092531,-91.6258264
"ARE","66048",15,39.329986,-94.936628,35.07092531,-91.6258264
"ARE","71463",26,30.8321375,-92.6370675,35.07092531,-91.6258264
"ARE","71467",36,31.463861,-92.439884,35.07092531,-91.6258264
"ARE","72335",223,34.979818,-90.803971,35.07092531,-91.6258264
"ARE","75159",15,32.659571,-96.569396,35.07092531,-91.6258264
"ARE","75501",43,33.377055,-94.090145,35.07092531,-91.6258264
"ARE","76119",27,32.679596,-97.287277,35.07092531,-91.6258264
"ARE","76127",22,32.781949,-97.419109,35.07092531,-91.6258264
"ARE","77705",49,29.964871,-94.07919,35.07092531,-91.6258264
"ARE","79720",27,32.226991,-101.510346,35.07092531,-91.6258264
"ARW","35442",17,33.176326,-88.192975,34.69407447,-93.411058
"ARW","39120",37,31.559019,-91.220072,34.69407447,-93.411058
"ARW","39194",35,32.886693,-90.432438,34.69407447,-93.411058
"ARW","66048",15,39.329986,-94.936628,34.69407447,-93.411058
"ARW","71463",26,30.8321375,-92.6370675,34.69407447,-93.411058
"ARW","71467",41,31.463861,-92.439884,34.69407447,-93.411058
"ARW","72335",118,34.979818,-90.803971,34.69407447,-93.411058
"ARW","73036",21,35.534389,-98.003838,34.69407447,-93.411058
"ARW","73169",17,35.390753,-97.616397,34.69407447,-93.411058
"ARW","75501",57,33.377055,-94.090145,34.69407447,-93.411058
"ARW","76119",31,32.679596,-97.287277,34.69407447,-93.411058
"ARW","76127",19,32.781949,-97.419109,34.69407447,-93.411058
"ARW","77705",41,29.964871,-94.07919,34.69407447,-93.411058
