"offense","mandmin_0","mandmin_1","total","mandmin_pct"
"All offenses",74431,105431,179862,0.586177180282661
"Drug",18063,73965,92028,0.803722780023471
"Weapon",12496,15767,28263,0.55786717616672
"Immigration",17124,332,17456,0.019019248395967
"Sex",3738,8051,11789,0.682924760369836
"Violent",6173,2166,8339,0.259743374505336
"Property",8680,2374,11054,0.214763886375972
"Public Order",7174,2433,9607,0.253252836473405
