"offense","year","admissions"
"Supervision",1994,5665
"Violent",1994,8616
"Public-Order",1994,4120
"Property",1994,6476
"Sex",1994,603
"Immigration",1994,2309
"Weapon",1994,6337
"Drug",1994,48416
"Supervision",2014,7164
"Violent",2014,9211
"Public-Order",2014,10110
"Property",2014,11360
"Sex",2014,12061
"Immigration",2014,19741
"Weapon",2014,29495
"Drug",2014,95305
